accreditation,city,clickUri,combined_program,degree_program,distance_learning,email,excerpt,institution,location,phone,state,title,uri,website,zip
,La Mirada,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=490307a0-da9c-4235-a596-ae2977a32b6b&efp=383&site=ashacms&webcode=edfinddetail,"Bachelor’s/master’s (e.g., BA/MA)",Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"La Mirada, California",,['California'],Biola University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=490307a0-da9c-4235-a596-ae2977a32b6b&efp=383&site=ashacms&webcode=edfinddetail,,90639
,Searcy,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=89cd5297-43cd-4b19-b2a8-bcfd1b1ed77d&efp=48&site=ashacms&webcode=edfinddetail,"Bachelor’s/master’s (e.g., BA/MA)",Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Searcy, Arkansas",,['Arkansas'],Harding University: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=89cd5297-43cd-4b19-b2a8-bcfd1b1ed77d&efp=48&site=ashacms&webcode=edfinddetail,,72149
,Eau Claire,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=5fc54004-4f60-4900-ae7e-642d028dec51&efp=401&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Eau Claire, Wisconsin",,['Wisconsin'],"University of Wisconsin, Eau Claire: Bachelor of Science (BS)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=5fc54004-4f60-4900-ae7e-642d028dec51&efp=401&site=ashacms&webcode=edfinddetail,,54702-4004
,Wichita,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=35eca6ca-19c9-41eb-9183-16a1640a3c77&efp=647&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Wichita, Kansas",,['Kansas'],Wichita State University: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=35eca6ca-19c9-41eb-9183-16a1640a3c77&efp=647&site=ashacms&webcode=edfinddetail,,67260-0075
,Lafayette,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=00466438-6748-454a-9a78-dfbb9b25505b&efp=135&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Lafayette, Louisiana",,['Louisiana'],"University of Louisiana, Lafayette: Bachelor of Arts (BA)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=00466438-6748-454a-9a78-dfbb9b25505b&efp=135&site=ashacms&webcode=edfinddetail,,70504-3645
,Murray,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=44f07bdc-40cf-4107-9a9d-457c5c05377f&efp=42&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Murray, Kentucky",,['Kentucky'],Murray State University: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=44f07bdc-40cf-4107-9a9d-457c5c05377f&efp=42&site=ashacms&webcode=edfinddetail,,42071-3340
,Murray,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=44f07bdc-40cf-4107-9a9d-457c5c05377f&efp=910&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Murray, Kentucky",,['Kentucky'],Murray State University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=44f07bdc-40cf-4107-9a9d-457c5c05377f&efp=910&site=ashacms&webcode=edfinddetail,,42071-3340
,Kansas City,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=d58ce9e9-1df7-4738-a889-8934ca937e3f&efp=1132&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Kansas City, Missouri",,['Missouri'],Rockhurst University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=d58ce9e9-1df7-4738-a889-8934ca937e3f&efp=1132&site=ashacms&webcode=edfinddetail,,64110
,New Haven,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=9f9dd2bf-9523-4fbb-8fcd-ceab8f4906bc&efp=126&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"New Haven, Connecticut",,['Connecticut'],Southern Connecticut State University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=9f9dd2bf-9523-4fbb-8fcd-ceab8f4906bc&efp=126&site=ashacms&webcode=edfinddetail,,06515
,Charlottesville,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=bfdfd1fd-29b8-4542-9c68-bb5cc29cd0f5&efp=1079&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Charlottesville, Virginia",,['Virginia'],University of Virginia: Other bachelor’s degree with a major in the field of communication sciences and disorders (Other),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=bfdfd1fd-29b8-4542-9c68-bb5cc29cd0f5&efp=1079&site=ashacms&webcode=edfinddetail,,22904-4260
,Stevens Point,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=fbb29d29-c427-4ec8-923d-3c252ca79d1e&efp=371&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Stevens Point, Wisconsin",,['Wisconsin'],"University of Wisconsin, Stevens Point: Bachelor of Science (BS)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=fbb29d29-c427-4ec8-923d-3c252ca79d1e&efp=371&site=ashacms&webcode=edfinddetail,,54481-3897
,Baltimore,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=536a3229-28e0-4b72-8da6-c975cea4537f&efp=153&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Baltimore, Maryland",,['Maryland'],Loyola University Maryland: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=536a3229-28e0-4b72-8da6-c975cea4537f&efp=153&site=ashacms&webcode=edfinddetail,,21210
,St. Louis,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=3abebd9f-b42b-4744-abdb-e653a12c79d8&efp=218&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"St. Louis, Missouri",,['Missouri'],Maryville University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=3abebd9f-b42b-4744-abdb-e653a12c79d8&efp=218&site=ashacms&webcode=edfinddetail,,63141
,Lexington,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=1fe16593-63f1-4af5-bf8a-3e111df801d6&efp=128&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Lexington, Kentucky",,['Kentucky'],University of Kentucky: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=1fe16593-63f1-4af5-bf8a-3e111df801d6&efp=128&site=ashacms&webcode=edfinddetail,,40536-0200
,Chickasha,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=2aaba715-71f3-44d8-bd6b-d1adac0e0028&efp=90&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Chickasha, Oklahoma",,['Oklahoma'],University of Science & Arts of Oklahoma: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=2aaba715-71f3-44d8-bd6b-d1adac0e0028&efp=90&site=ashacms&webcode=edfinddetail,,73018
,Stockton,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=6faa0740-d2e9-447b-be6a-cf1acf12c2f3&efp=308&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Stockton, California",,['California'],University of the Pacific - SLP Program: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=6faa0740-d2e9-447b-be6a-cf1acf12c2f3&efp=308&site=ashacms&webcode=edfinddetail,,95211
,Muncie,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=87ebd1f8-d2f6-43d9-8ec9-95539c733cd2&efp=623&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Muncie, Indiana",,['Indiana'],Ball State University: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=87ebd1f8-d2f6-43d9-8ec9-95539c733cd2&efp=623&site=ashacms&webcode=edfinddetail,,47303
,Muncie,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=87ebd1f8-d2f6-43d9-8ec9-95539c733cd2&efp=940&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Muncie, Indiana",,['Indiana'],Ball State University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=87ebd1f8-d2f6-43d9-8ec9-95539c733cd2&efp=940&site=ashacms&webcode=edfinddetail,,47303
,Carbondale,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=f76447a5-b13f-428a-aae1-120439fa7f7c&efp=295&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Carbondale, Illinois",,['Illinois'],"Southern Illinois University, Carbondale: Bachelor of Science (BS)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=f76447a5-b13f-428a-aae1-120439fa7f7c&efp=295&site=ashacms&webcode=edfinddetail,,62901-4609
,Tampa,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=c239bf01-cfd8-4f09-b6b5-635b38df324b&efp=451&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Tampa, Florida",,['Florida'],University of South Florida: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=c239bf01-cfd8-4f09-b6b5-635b38df324b&efp=451&site=ashacms&webcode=edfinddetail,,33620-8150
,Montreat,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=c6d05eec-6623-4f73-aff9-72596c647a55&efp=965&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Montreat, North Carolina",,['North Carolina'],Montreat College: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=c6d05eec-6623-4f73-aff9-72596c647a55&efp=965&site=ashacms&webcode=edfinddetail,,28757
,Kalamazoo,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=abdff612-94e4-4e8c-ba48-b03376ed614f&efp=431&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Kalamazoo, Michigan",,['Michigan'],Western Michigan University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=abdff612-94e4-4e8c-ba48-b03376ed614f&efp=431&site=ashacms&webcode=edfinddetail,,49008-5355
,Berea,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=dbf28528-e376-476c-bcb3-a31436333d66&efp=75&site=ashacms&webcode=edfinddetail,"Bachelor’s/master’s (e.g., BA/MA)",Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Berea, Ohio",,['Ohio'],Baldwin Wallace University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=dbf28528-e376-476c-bcb3-a31436333d66&efp=75&site=ashacms&webcode=edfinddetail,,44017
,Nacogdoches,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=ef3d9f15-e3bb-47cc-9266-cdf71943a57e&efp=155&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Nacogdoches, Texas",,['Texas'],Stephen F. Austin State University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=ef3d9f15-e3bb-47cc-9266-cdf71943a57e&efp=155&site=ashacms&webcode=edfinddetail,,75962
,Redlands,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=23d54dff-7bd1-4a8a-a1de-b92a94d3a207&efp=444&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Redlands, California",,['California'],University of Redlands: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=23d54dff-7bd1-4a8a-a1de-b92a94d3a207&efp=444&site=ashacms&webcode=edfinddetail,,92373-0999
,Milwaukee,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=63ca402a-64d0-4efc-8a28-bc14f1f88f2e&efp=285&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Milwaukee, Wisconsin",,['Wisconsin'],"University of Wisconsin, Milwaukee: Bachelor of Science (BS)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=63ca402a-64d0-4efc-8a28-bc14f1f88f2e&efp=285&site=ashacms&webcode=edfinddetail,,53201
,Laramie,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=30a7fe3e-3487-4738-8e41-32e500649b01&efp=449&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Laramie, Wyoming",,['Wyoming'],University of Wyoming: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=30a7fe3e-3487-4738-8e41-32e500649b01&efp=449&site=ashacms&webcode=edfinddetail,,82071
,Warrensburg,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=bf34712a-937e-4f34-8c49-424fd4a6c423&efp=1137&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Warrensburg, Missouri",,['Missouri'],University of Central Missouri: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=bf34712a-937e-4f34-8c49-424fd4a6c423&efp=1137&site=ashacms&webcode=edfinddetail,,64093
,Fresno,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=a751b972-cb84-4c6b-a8f5-5f41caee7b9b&efp=738&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Fresno, California",,['California'],"California State University, Fresno: Bachelor of Arts (BA)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=a751b972-cb84-4c6b-a8f5-5f41caee7b9b&efp=738&site=ashacms&webcode=edfinddetail,,93740-8019
,Columbus,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=8c2e1eaf-58bc-40b8-bc61-774da0da3a81&efp=436&site=ashacms&webcode=edfinddetail,"Bachelor’s/clinical doctoral (e.g.,BA/AuD)",Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Columbus, Ohio",,['Ohio'],Ohio State University: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=8c2e1eaf-58bc-40b8-bc61-774da0da3a81&efp=436&site=ashacms&webcode=edfinddetail,,43210
,Middletown,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=da485bc5-e3f0-43af-b51a-d7a3a86a15a9&efp=926&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Middletown, Pennsylvania",,['Pennsylvania'],Penn State University Harrisburg: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=da485bc5-e3f0-43af-b51a-d7a3a86a15a9&efp=926&site=ashacms&webcode=edfinddetail,,17057
,Hammond,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=c8096ad8-ddb0-495d-af86-d90e04b919e1&efp=1139&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Hammond, Louisiana",,['Louisiana'],Southeastern Louisiana University: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=c8096ad8-ddb0-495d-af86-d90e04b919e1&efp=1139&site=ashacms&webcode=edfinddetail,,70402
,Hammond,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=c8096ad8-ddb0-495d-af86-d90e04b919e1&efp=79&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Hammond, Louisiana",,['Louisiana'],Southeastern Louisiana University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=c8096ad8-ddb0-495d-af86-d90e04b919e1&efp=79&site=ashacms&webcode=edfinddetail,,70402
,Kingsville,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=c2072401-23fc-43e6-9371-e61f291f6b2a&efp=446&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Kingsville, Texas",,['Texas'],"Texas A&M University, Kingsville: Bachelor of Science (BS)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=c2072401-23fc-43e6-9371-e61f291f6b2a&efp=446&site=ashacms&webcode=edfinddetail,,78363-8202
,Greensboro,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=b118a9d9-0706-4bdd-b64e-96c7fa9940ab&efp=138&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Greensboro, North Carolina",,['North Carolina'],"University of North Carolina, Greensboro: Bachelor of Science (BS)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=b118a9d9-0706-4bdd-b64e-96c7fa9940ab&efp=138&site=ashacms&webcode=edfinddetail,,27402-6170
,Fort Lauderdale,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=20dde5de-73d8-4980-a7de-f202cddbe993&efp=562&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Fort Lauderdale, Florida",,['Florida'],Nova Southeastern University - SLP Program: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=20dde5de-73d8-4980-a7de-f202cddbe993&efp=562&site=ashacms&webcode=edfinddetail,,33328-2004
,Ponce,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=8fd96741-2a98-4437-9009-9af12cc13612&efp=952&site=ashacms&webcode=edfinddetail,"Bachelor’s/master’s (e.g., BA/MA)",Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Ponce, Puerto Rico",,['Puerto Rico'],Pontifical Catholic University of Puerto Rico: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=8fd96741-2a98-4437-9009-9af12cc13612&efp=952&site=ashacms&webcode=edfinddetail,,00717
,Omaha,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=3d09a55e-c87d-40bb-b0ce-4a966cfb7b57&efp=241&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Omaha, Nebraska",,['Nebraska'],"University of Nebraska, Omaha: Bachelor of Science (BS)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=3d09a55e-c87d-40bb-b0ce-4a966cfb7b57&efp=241&site=ashacms&webcode=edfinddetail,,68182-0054
,Eugene,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=88dc1df7-fe4b-4cbf-a22b-112106ea21d9&efp=587&site=ashacms&webcode=edfinddetail,"Bachelor’s/master’s (e.g., BA/MA)",Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Eugene, Oregon",,['Oregon'],University of Oregon: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=88dc1df7-fe4b-4cbf-a22b-112106ea21d9&efp=587&site=ashacms&webcode=edfinddetail,,97403-5284
,Eugene,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=88dc1df7-fe4b-4cbf-a22b-112106ea21d9&efp=929&site=ashacms&webcode=edfinddetail,"Bachelor’s/master’s (e.g., BA/MA)",Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Eugene, Oregon",,['Oregon'],University of Oregon: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=88dc1df7-fe4b-4cbf-a22b-112106ea21d9&efp=929&site=ashacms&webcode=edfinddetail,,97403-5284
,Bellingham,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=d5defdcd-e97e-4eb1-9364-41fe8f2c3c48&efp=403&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Bellingham, Washington",,['Washington'],Western Washington University: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=d5defdcd-e97e-4eb1-9364-41fe8f2c3c48&efp=403&site=ashacms&webcode=edfinddetail,,98225-9171
,Annville,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=53869d5d-8ee8-4845-9ea4-71e37bb49465&efp=1141&site=ashacms&webcode=edfinddetail,"Bachelor’s/master’s (e.g., BA/MA)",Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Annville, Pennsylvania",,['Pennsylvania'],Lebanon Valley College: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=53869d5d-8ee8-4845-9ea4-71e37bb49465&efp=1141&site=ashacms&webcode=edfinddetail,,17003-1400
,DeKalb,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=256f2e2b-c715-4fa9-aa70-117c6a0f55cc&efp=86&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"DeKalb, Illinois",,['Illinois'],Northern Illinois University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=256f2e2b-c715-4fa9-aa70-117c6a0f55cc&efp=86&site=ashacms&webcode=edfinddetail,,60115-2828
,Toledo,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=e25928e9-7261-4241-a9c2-917bc6f3c40f&efp=184&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Toledo, Ohio",,['Ohio'],University of Toledo: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=e25928e9-7261-4241-a9c2-917bc6f3c40f&efp=184&site=ashacms&webcode=edfinddetail,,43606
,Canyon,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=f355ec9e-a1dd-40be-aadb-09eb451da05f&efp=100&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Canyon, Texas",,['Texas'],West Texas A & M University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=f355ec9e-a1dd-40be-aadb-09eb451da05f&efp=100&site=ashacms&webcode=edfinddetail,,79016-0001
,Bowling Green,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=4bfcdfd2-6af3-40ce-962f-71b1ec176c41&efp=378&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Bowling Green, Ohio",,['Ohio'],Bowling Green State University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=4bfcdfd2-6af3-40ce-962f-71b1ec176c41&efp=378&site=ashacms&webcode=edfinddetail,,43403
