accreditation,city,clickUri,combined_program,degree_program,distance_learning,email,excerpt,institution,location,phone,state,title,uri,website,zip
,Akron,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=54cf6b21-d2c8-4cd7-80b1-ae1ff3ab0bf5&efp=1058&site=ashacms&webcode=edfinddetail,"Bachelor’s/master’s (e.g., BA/MA)",Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Akron, Ohio",,['Ohio'],University of Akron: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=54cf6b21-d2c8-4cd7-80b1-ae1ff3ab0bf5&efp=1058&site=ashacms&webcode=edfinddetail,,44325-3001
,Athens,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=7e324b75-7922-4181-80f8-0e2bee6fcf56&efp=1061&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Athens, Georgia",,['Georgia'],University of Georgia: Other bachelor’s degree with a major in the field of communication sciences and disorders (Other),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=7e324b75-7922-4181-80f8-0e2bee6fcf56&efp=1061&site=ashacms&webcode=edfinddetail,,30602-7152
,Minot,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=cf0586ec-83c2-4e6f-91d0-e1ce2fed79e2&efp=471&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Minot, North Dakota",,['North Dakota'],Minot State University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=cf0586ec-83c2-4e6f-91d0-e1ce2fed79e2&efp=471&site=ashacms&webcode=edfinddetail,,58707
,Cincinnati,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=7d1468b7-5385-4b5e-b424-d89068bc5fba&efp=415&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Cincinnati, Ohio",,['Ohio'],University of Cincinnati: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=7d1468b7-5385-4b5e-b424-d89068bc5fba&efp=415&site=ashacms&webcode=edfinddetail,,45219
,Hattiesburg,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=6b614751-0164-4d66-8b91-2aa489e44e35&efp=312&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Hattiesburg, Mississippi",,['Mississippi'],University of Southern Mississippi: Bachelor of Arts (BA),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=6b614751-0164-4d66-8b91-2aa489e44e35&efp=312&site=ashacms&webcode=edfinddetail,,39406-0001
,Auburn,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=489ef27d-e002-4885-bdd5-1bc35b1e75f7&efp=252&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Auburn, Alabama",,['Alabama'],Auburn University: Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=489ef27d-e002-4885-bdd5-1bc35b1e75f7&efp=252&site=ashacms&webcode=edfinddetail,,36830
,Riverside,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=5681b32b-7f33-408b-9105-7a1baafcf7f5&efp=468&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Riverside, California",,['California'],California Baptist University : Bachelor of Science (BS),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=5681b32b-7f33-408b-9105-7a1baafcf7f5&efp=468&site=ashacms&webcode=edfinddetail,,92504
,Fullerton,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=d26a7f16-8112-4410-b222-8ce0ece0096c&efp=22&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Fullerton, California",,['California'],"California State University, Fullerton: Bachelor of Arts (BA)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=d26a7f16-8112-4410-b222-8ce0ece0096c&efp=22&site=ashacms&webcode=edfinddetail,,92831
,Fullerton,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=d26a7f16-8112-4410-b222-8ce0ece0096c&efp=1128&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Fullerton, California",,['California'],"California State University, Fullerton: Bachelor of Science (BS)",https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=d26a7f16-8112-4410-b222-8ce0ece0096c&efp=1128&site=ashacms&webcode=edfinddetail,,92831
,Duluth,https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=a23a3744-facc-4562-9e41-10fb5996833f&efp=1066&site=ashacms&webcode=edfinddetail,None,Undergraduate Degree,,,"Public ... About ASHA ... The American Speech-Language-Hearing Association (ASHA) is the national professional, scientific, and credentialing association for members and affiliates who are audiolog...",,"Duluth, Minnesota",,['Minnesota'],University of Minnesota Duluth: Other bachelor’s degree with a major in the field of communication sciences and disorders (Other),https://apps.asha.org/eweb/ashadynamicpage.aspx?efk=a23a3744-facc-4562-9e41-10fb5996833f&efp=1066&site=ashacms&webcode=edfinddetail,,55812-9989
